,BirdID,Brood.code,Chick.code,social.fem,social.male,Age,Date,Year,Time,Mass,Chick.order,Air.temp,max.temp,CF.brood.no,f.cc,femID,m.cc,maleID,maxage,surv
29,10021,R029,CR0058,YW/MB,RM/OY,5,04/05/2018,2018,08:46:00,9.6,2,16.2,37.6237128,NA,YW/MB,8726,RM/OY,7615,12,1
27,10021,R029,CR0058,YW/MB,RM/OY,10,09/05/2018,2018,08:34:00,21,2,15.2,36.32558498,NA,YW/MB,8726,RM/OY,7615,12,1
28,10021,R029,CR0058,YW/MB,RM/OY,12,11/05/2018,2018,NA,NA,NA,12.7,NA,NA,YW/MB,8726,RM/OY,7615,12,1
31,10022,R029,CR0059,YW/MB,RM/OY,2,01/05/2018,2018,08:58:00,4.6,2,13.1,32.4,NA,YW/MB,8726,RM/OY,7615,12,1
33,10022,R029,CR0059,YW/MB,RM/OY,5,04/05/2018,2018,08:46:00,8.1,3,16.2,35.7,NA,YW/MB,8726,RM/OY,7615,12,1
30,10022,R029,CR0059,YW/MB,RM/OY,10,09/05/2018,2018,08:34:00,18.9,1,15.2,36.90663166,NA,YW/MB,8726,RM/OY,7615,12,1
32,10022,R029,CR0059,YW/MB,RM/OY,12,11/05/2018,2018,NA,NA,NA,12.7,NA,NA,YW/MB,8726,RM/OY,7615,12,1
37,10023,R029,CR0060,YW/MB,RM/OY,2,01/05/2018,2018,08:58:00,3.1,3,13.2,30.4,NA,YW/MB,8726,RM/OY,7615,12,1
36,10023,R029,CR0060,YW/MB,RM/OY,5,04/05/2018,2018,08:46:00,7.6,1,16.7,35.85363764,NA,YW/MB,8726,RM/OY,7615,12,1
34,10023,R029,CR0060,YW/MB,RM/OY,10,09/05/2018,2018,08:34:00,18.2,3,15.4,36.17158313,NA,YW/MB,8726,RM/OY,7615,12,1
35,10023,R029,CR0060,YW/MB,RM/OY,12,11/05/2018,2018,NA,NA,NA,12.7,NA,NA,YW/MB,8726,RM/OY,7615,12,1
38,10026,R031,CR0063,YM/RD,RD/MR,2,04/05/2018,2018,08:29:00,3.1,1,14.1,28,NA,YM/RD,9046,RD/MR,7689,2,0
40,10031,R014,CR0067,NA,NM/VC,2,06/05/2018,2018,08:48:00,3.3,1,15.7,26.8,R015,NA,NA,NM/VC,9563,12,1
42,10031,R015,CR0067,NA,NM/VC,5,09/05/2018,2018,07:51:00,8.3,2,14,27.2,NA,NA,NA,NM/VC,9563,12,1
39,10031,R015,CR0067,NA,NM/VC,10,14/05/2018,2018,07:51:00,17.9,2,14.7,33.58638734,NA,NA,NA,NM/VC,9563,12,1
41,10031,R015,CR0067,NA,NM/VC,12,16/05/2018,2018,10:54:00,23.7,1,13.5,39.0192787,NA,NA,NA,NM/VC,9563,12,1
43,10032,R014,CR0068,NA,NM/VC,2,06/05/2018,2018,08:48:00,2.5,2,15.7,27.9,R015,NA,NA,NM/VC,9563,12,1
46,10032,R015,CR0068,NA,NM/VC,5,09/05/2018,2018,07:51:00,6.9,1,14,25.5,NA,NA,NA,NM/VC,9563,12,1
45,10032,R015,CR0068,NA,NM/VC,10,14/05/2018,2018,07:51:00,14.6,1,14.7,33.36191285,NA,NA,NA,NM/VC,9563,12,1
44,10032,R015,CR0068,NA,NM/VC,12,16/05/2018,2018,10:54:00,19.9,2,13.6,35.08488038,NA,NA,NA,NM/VC,9563,12,1
48,10033,R014,CR0069,NA,NM/VC,2,06/05/2018,2018,08:48:00,2.5,3,15.8,27.2,NA,NA,NA,NM/VC,9563,12,1
49,10033,R014,CR0069,NA,NM/VC,5,09/05/2018,2018,07:41:00,8.3,2,13.9,31.6,NA,NA,NA,NM/VC,9563,12,1
50,10033,R014,CR0069,NA,NM/VC,10,14/05/2018,2018,07:38:00,18.5,1,14.6,36.23016842,NA,NA,NA,NM/VC,9563,12,0
47,10033,R014,CR0069,NA,NM/VC,12,16/05/2018,2018,10:18:00,26,1,12.9,38.94089881,NA,NA,NA,NM/VC,9563,12,1
53,10034,R014,CR0070,NA,NM/VC,2,06/05/2018,2018,08:48:00,4.8,4,15.8,27.2,NA,NA,NA,NM/VC,9563,12,1
54,10034,R014,CR0070,NA,NM/VC,5,09/05/2018,2018,07:41:00,10.6,1,13.8,33.61062869,NA,NA,NA,NM/VC,9563,12,1
52,10034,R014,CR0070,NA,NM/VC,10,14/05/2018,2018,07:38:00,23.2,2,14.6,36.53550014,NA,NA,NA,NM/VC,9563,12,1
51,10034,R014,CR0070,NA,NM/VC,12,16/05/2018,2018,10:18:00,24.4,2,12.9,37.72738375,NA,NA,NA,NM/VC,9563,12,1
55,10035,R015,CR0071,YM/BN,NA,2,06/05/2018,2018,08:41:00,3.1,1,15.5,29.9,R014,NA,NA,NM/VC,9563,2,1
56,10036,R015,CR0072,YM/BN,NA,2,06/05/2018,2018,08:41:00,2.1,2,15.5,27,R014,NA,NA,NM/VC,9563,2,1
57,10038,R019,CR0073,YM/VO,BC/MB,2,07/05/2018,2018,08:05:00,2.1,1,15.2,25.3,R035,YM/VO,8979,BC/MB,8652,10,1
59,10038,R035,CR0073,YM/VO,BC/MB,5,10/05/2018,2018,09:39:00,3.3,3,14.6,28.48125428,NA,YM/VO,8979,BC/MB,8652,10,1
58,10038,R035,CR0073,YM/VO,BC/MB,10,15/05/2018,2018,11:13:00,6.6,3,16.4,35.6,NA,YM/VO,8979,BC/MB,8652,10,1
60,10040,R035,CR0075,MB/RW,YM/WR,2,07/05/2018,2018,08:10:00,3.2,1,14.9,28.1,R019,YM/VO,8979,BC/MB,8652,2,1
63,10041,R035,CR0076,MB/RW,YM/WR,2,07/05/2018,2018,08:10:00,3.7,2,14.9,27.9,NA,YM/VO,8979,BC/MB,8652,10,1
62,10041,R035,CR0076,MB/RW,YM/WR,5,10/05/2018,2018,09:39:00,8.6,1,14.5,33.03436672,NA,YM/VO,8979,BC/MB,8652,10,1
61,10041,R035,CR0076,MB/RW,YM/WR,10,15/05/2018,2018,11:13:00,20.7,1,16.4,41.09808983,NA,YM/VO,8979,BC/MB,8652,10,0
66,10042,R035,CR0077,MB/RW,YM/WR,2,07/05/2018,2018,08:10:00,3.1,3,14.8,26.9,NA,YM/VO,8979,BC/MB,8652,10,1
64,10042,R035,CR0077,MB/RW,YM/WR,5,10/05/2018,2018,09:39:00,7.3,2,14.5,32.35614529,NA,YM/VO,8979,BC/MB,8652,10,0
65,10042,R035,CR0077,MB/RW,YM/WR,10,15/05/2018,2018,11:13:00,19.8,2,16.4,38.25849829,NA,YM/VO,8979,BC/MB,8652,10,1
70,10043,R023,CR0078,RY/MY,VV/YM,2,08/05/2018,2018,07:52:00,3,1,15,30.2,R021,RY/MY,9258,VV/YM,9134,12,1
