Offspring,Dam,Sire,Cohort
5931,NA,5789,1995
5932,5738,5789,1995
5933,NA,5789,1995
5934,NA,5713,1995
5935,NA,NA,1995
5936,NA,5783,1995
5937,NA,5711,1995
5938,NA,5726,1995
5939,NA,NA,1995
5940,NA,5769,1995
5941,NA,5750,1995
5942,NA,NA,1995
5943,NA,5705,1995
5944,NA,NA,1995
5945,NA,5705,1995
5946,NA,5705,1995
5947,NA,5705,1995
5948,NA,5778,1995
5949,NA,NA,1995
5950,NA,5783,1995
5951,NA,5959,1995
5952,5742,5797,1995
5953,NA,5797,1995
5954,NA,5709,1995
5955,NA,5783,1995
5956,NA,5774,1995
5957,NA,NA,1995
5958,NA,5707,1995
5960,NA,5713,1995
5962,NA,5737,1995
5963,NA,5750,1995
5964,NA,5707,1995
5965,NA,4402,1995
5966,NA,5727,1995
5968,NA,5745,1995
5969,NA,5707,1995
5970,NA,5800,1995
5971,NA,5959,1995
5972,NA,5775,1995
5973,NA,5755,1995
5974,NA,5961,1995
5975,NA,5707,1995
5976,NA,5765,1995
5979,NA,NA,1995
5980,NA,5707,1995
5981,NA,5707,1995
5983,NA,NA,1995
5984,NA,4409,1995
5985,NA,NA,1996
5986,5790,5765,1996
5987,5790,5765,1996
5988,5770,4401,1996
5989,5810,5931,1996
5990,5770,4401,1996
5991,5770,5783,1996
5992,5736,5755,1996
5993,5736,5755,1996
5994,5736,5755,1996
5995,5810,5789,1996
5996,4404,5774,1996
5997,4404,5774,1996
5998,5708,5710,1996
5999,5708,5710,1996
6000,5708,5710,1996
6001,5847,5756,1996
6002,5708,5931,1996
6003,5776,5963,1996
6004,5806,5798,1996
6005,5801,4406,1996
6006,5801,4406,1996
6007,5806,5968,1996
6008,NA,NA,1996
6009,5802,5740,1996
6010,5802,5740,1996
6011,5771,5755,1996
6012,4400,4403,1996
6013,4400,4403,1996
6014,5753,5764,1996
6015,5753,5892,1996
6016,5753,5892,1996
6017,5753,5764,1996
6018,5732,5735,1996
6019,5732,5735,1996
6020,5950,4499,1996
6021,5793,4499,1996
6022,5732,4499,1996
6023,5941,4402,1996
6024,5958,5823,1996
6025,5842,5975,1996
6026,5842,5707,1996
6027,5858,5709,1996
6028,5874,5841,1996
6029,5724,5711,1996
6030,5686,5723,1996
6031,5744,4411,1996
6032,NA,NA,1996
6033,5980,5773,1996
6034,5980,5773,1996
6035,5757,4399,1996
6036,5812,5775,1996
6037,5812,5875,1996
6038,5847,5937,1996
6039,5847,5937,1996
6040,5847,4399,1996
6041,NA,NA,1996
6042,5857,5928,1996
6043,5741,5769,1996
6044,5759,5892,1996
6045,5952,5717,1996
6046,5776,5963,1996
6048,5852,5768,1996
6049,5824,5739,1996
6050,5824,5739,1996
6051,5780,5765,1996
6052,5780,5765,1996
6053,5730,5821,1996
6054,5837,5821,1996
6055,5958,5821,1996
6056,5759,5709,1996
6057,5759,5709,1996
6058,5742,5707,1996
6059,5734,5962,1996
6060,5734,5962,1996
6061,5830,5749,1996
6062,5874,5934,1996
6063,5809,5934,1996
6064,5790,5765,1996
6065,5790,5765,1996
6066,5790,5765,1996
6067,5790,5765,1996
6068,5977,4499,1996
6069,5950,4499,1996
6070,5977,4499,1996
6071,5977,4499,1996
6072,5801,4406,1996
6073,5801,5968,1996
6074,5801,4406,1996
6075,5801,4406,1996
6076,4404,5774,1996
6077,4404,5774,1996
6078,5940,5774,1996
6079,4404,5774,1996
6080,4404,5774,1996
6081,5736,5755,1996
6082,5770,4401,1996
6083,5736,5755,1996
6084,5770,4401,1996
6085,NA,NA,1996
6086,5708,5710,1996
6087,5708,5710,1996
6088,5708,5710,1996
6089,5810,5789,1996
6090,5810,5789,1996
6091,5810,5798,1996
6092,5810,5789,1996
6093,5732,5735,1996
6094,5732,5735,1996
6095,5732,5735,1996
6096,5732,5735,1996
6097,5888,5695,1996
6098,5888,5695,1996
6099,5802,4409,1996
6100,5802,4409,1996
6101,5802,4409,1996
6102,5802,4409,1996
6103,5806,5798,1996
6104,5806,5798,1996
6105,5806,5798,1996
6106,5806,5798,1996
6107,4400,4403,1996
6108,5824,5707,1996
6109,5824,5785,1996
6110,5790,5735,1996
6111,5771,5769,1996
6112,5771,5769,1996
6113,5771,5769,1996
6114,5842,5975,1996
6115,5842,5975,1996
6116,5842,5798,1996
6117,5965,5951,1996
6118,5965,5727,1996
6119,5725,4410,1996
6120,5852,5768,1996
6121,5852,5768,1996
6122,5852,5768,1996
6123,5852,5768,1996
6124,5852,5768,1996
6125,5744,4411,1996
6126,5744,4411,1996
6127,5744,4411,1996
6128,4405,5875,1996
6129,4405,5875,1996
6130,4405,5875,1996
6131,5952,5928,1996
6132,5803,5705,1996
6133,5803,5761,1996
6134,5952,5928,1996
6135,5741,5805,1996
6136,5741,5805,1996
6137,NA,NA,1996
6138,5741,5805,1996
6139,5721,5774,1996
6140,5980,5774,1996
6141,5980,5774,1996
6142,5858,5828,1996
6143,5936,4410,1996
6144,5858,5723,1996
6145,5980,5774,1996
6146,5776,5963,1996
6147,5776,5970,1996
6148,5770,5869,1996
6149,5780,5775,1996
6150,5780,5775,1996
6151,5780,5775,1996
6152,5780,5775,1996
6153,5824,5774,1996
6154,5824,5739,1996
6155,5824,5774,1996
6156,5790,5765,1996
6157,5790,5765,1996
6158,5790,5765,1996
6159,5790,5765,1996
6160,5790,5765,1996
6161,5790,5765,1996
6162,5686,4407,1996
6163,5812,5875,1996
6164,5812,5875,1996
6165,5812,5875,1996
6166,5730,5821,1996
6167,5730,5821,1996
6168,5730,5755,1996
6169,NA,5733,1996
6170,5980,5737,1996
6171,5980,5737,1996
6172,4405,5795,1996
6173,5736,5755,1996
6174,4400,4403,1996
6175,4400,4403,1996
6176,5801,4406,1996
6177,5801,4406,1996
6178,5801,4406,1996
6179,5971,5707,1996
6180,5946,5707,1996
6181,5732,4409,1996
6182,5732,4409,1996
6183,5732,4409,1996
6184,5842,5934,1996
6185,5790,5707,1996
6186,5958,5823,1996
6187,5770,4401,1996
6188,5770,4401,1996
6189,5770,4401,1996
6229,NA,NA,1996
6230,NA,NA,1996
4408,4405,4401,1997
4428,4405,4401,1997
4429,4400,5934,1997
4430,4405,4410,1997
4431,4404,5769,1997
4432,4405,4401,1997
4433,4405,4401,1997
4434,NA,4411,1997
4435,4404,4411,1997
4436,NA,4399,1997
4437,4400,5934,1997
4438,NA,4409,1997
4439,4405,4410,1997
4440,NA,4406,1997
6190,5790,4403,1997
6191,NA,5856,1997
6192,5858,5710,1997
6193,4404,5737,1997
6194,5824,5823,1997
6195,4405,4401,1997
6196,NA,5856,1997
6197,NA,4411,1997
6198,4404,5974,1997
6199,NA,5749,1997
6200,5790,4403,1997
6201,5858,4410,1997
6202,5858,5709,1997
6203,NA,NA,1997
6204,NA,5737,1997
6205,NA,5937,1997
6206,NA,5710,1997
6207,5847,4411,1997
6208,5847,4411,1997
6209,5847,4411,1997
6210,NA,4411,1997
6211,5790,4403,1997
6212,NA,NA,1997
6213,5790,4403,1997
6214,5790,4403,1997
6215,NA,NA,1997
6216,5824,5823,1997
6217,NA,NA,1997
6218,NA,5928,1997
6219,NA,5755,1997
6220,NA,5737,1997
6221,NA,4399,1997
6222,4404,5856,1997
6223,NA,NA,1997
6224,NA,NA,1997
6225,NA,NA,1997
6226,NA,NA,1997
6227,NA,NA,1997
6228,NA,NA,1997
6231,NA,NA,1997
6232,NA,NA,1997
6233,NA,NA,1997
6234,NA,NA,1997
6235,NA,NA,1997
4444,NA,NA,1999
4445,NA,NA,1999
4446,NA,NA,1999
4447,NA,NA,1999
4448,NA,NA,1999
4449,NA,NA,1999
4450,NA,NA,1999
4451,NA,NA,1999
4452,NA,NA,1999
4453,NA,NA,1999
4454,NA,NA,1999
4455,NA,NA,1999
4456,NA,NA,1999
4457,NA,NA,1999
4458,NA,NA,1999
4459,NA,NA,1999
4460,NA,NA,1999
4461,NA,NA,1999
4462,NA,NA,1999
4463,NA,NA,1999
4464,NA,NA,1999
4465,NA,NA,1999
4466,NA,NA,1999
4467,NA,NA,1999
4468,NA,NA,1999
4469,NA,NA,1999
4470,NA,NA,1999
4471,NA,NA,1999
4472,NA,NA,1999
4473,NA,NA,1999
4474,NA,NA,1999
4475,NA,NA,1999
4476,NA,NA,1999
4477,NA,NA,1999
4478,NA,NA,1999
4479,NA,NA,1999
4480,NA,NA,1999
4481,NA,NA,1999
4482,NA,NA,1999
4483,NA,NA,1999
4484,NA,NA,1999
4485,NA,NA,1999
4486,NA,NA,1999
4487,NA,NA,1999
4488,NA,NA,1999
4489,NA,NA,1999
4490,NA,NA,1999
4491,NA,NA,1999
4492,NA,NA,1999
4493,NA,NA,1999
4494,NA,NA,1999
4133,4404,4412,2000
4134,4404,4412,2000
4135,4404,4412,2000
4136,4431,4435,2000
4137,4404,4412,2000
4138,4404,4412,2000
4139,NA,NA,2000
4140,NA,NA,2000
4141,NA,4399,2000
4142,NA,NA,2000
4143,NA,NA,2000
4144,4438,4432,2000
4145,4438,4432,2000
4146,4438,4432,2000
4147,4438,4432,2000
4148,NA,NA,2000
4149,4495,4412,2000
4150,4495,4412,2000
4151,4495,4412,2000
4152,4400,4403,2000
4153,4400,4403,2000
4154,NA,NA,2000
4155,4430,4411,2000
4156,4430,4411,2000
4157,4430,4411,2000
4158,4430,4411,2000
4159,NA,NA,2000
4160,4441,4399,2000
4161,4441,4399,2000
4162,4441,4399,2000
4163,4496,4416,2000
4164,NA,4499,2000
4165,4496,4416,2000
4166,4496,4416,2000
4167,4442,4429,2000
4168,4442,4429,2000
4169,NA,NA,2000
4170,NA,NA,2000
4171,4442,4407,2000
4172,NA,NA,2000
4173,NA,NA,2000
4174,4495,4435,2000
4175,4497,4435,2000
4176,4497,4435,2000
4177,4497,4435,2000
4178,4497,4435,2000
4179,4498,4409,2000
4180,4498,4402,2000
4181,NA,4409,2000
4182,4498,4409,2000
4183,NA,4499,2000
4184,4441,4499,2000
4185,NA,4499,2000
4186,4420,4499,2000
4187,NA,NA,2000
4188,4443,4439,2000
4189,4443,4439,2000
4190,4443,4439,2000
4191,NA,NA,2000
4192,NA,NA,2000
4193,NA,NA,2000
4194,NA,NA,2000
4195,NA,NA,2000
4196,NA,NA,2000
4197,NA,NA,2000
4198,NA,NA,2000
4199,NA,NA,2000
4200,NA,NA,2000
4201,NA,NA,2000
4202,4405,4412,2000
4203,4405,4412,2000
4204,NA,NA,2000
4205,NA,NA,2000
4206,NA,NA,2000
4207,NA,4414,2000
4208,NA,NA,2000
4209,NA,NA,2000
4210,NA,4414,2000
4211,4438,4412,2000
4212,4438,4432,2000
4213,4438,4432,2000
4214,NA,NA,2000
4215,NA,4413,2000
4216,4400,4413,2000
4217,4437,4413,2000
4218,NA,NA,2000
4219,NA,NA,2000
4220,4404,4412,2000
4221,4404,4412,2000
4222,4404,4412,2000
4223,4404,4412,2000
4224,NA,NA,2000
4225,NA,NA,2000
4226,NA,NA,2000
4227,NA,NA,2000
4228,4447,4455,2000
4229,4447,4455,2000
4230,4447,4455,2000
4231,4437,4410,2000
4232,NA,NA,2000
4233,NA,NA,2000
4234,NA,NA,2000
4235,NA,NA,2000
4236,4454,4479,2000
4237,4454,4479,2000
4238,4454,4479,2000
4239,4431,4406,2000
4240,4431,4402,2000
4241,4431,4406,2000
4242,4431,4406,2000
4243,4430,4411,2000
4244,4430,4411,2000
4245,4430,4411,2000
4246,4430,4411,2000
4247,4430,4411,2000
4248,4442,4429,2000
4249,4442,4429,2000
4250,4442,4429,2000
4251,4442,4429,2000
4252,4408,4399,2000
4253,4408,4417,2000
4254,4408,4399,2000
4255,4408,4399,2000
4256,4497,4435,2000
4257,4497,4435,2000
4258,4497,4435,2000
4259,4497,4435,2000
4260,4497,4435,2000
4261,4495,4403,2000
4262,4495,4403,2000
4263,4495,4403,2000
4264,4495,4403,2000
4265,4495,4403,2000
4266,4436,4428,2000
4267,4436,4428,2000
4268,4436,4428,2000
4269,NA,NA,2000
4270,NA,NA,2000
4271,4440,NA,2000
4272,4440,4463,2000
4273,4440,4463,2000
4274,4440,4463,2000
4275,4440,4463,2000
4276,4400,4464,2000
4277,4400,4464,2000
4278,NA,NA,2000
4279,NA,NA,2000
4280,4405,4401,2000
4281,4405,4401,2000
4282,4405,4401,2000
4283,NA,NA,2000
4284,4441,4399,2000
4285,4441,4399,2000
4286,NA,NA,2000
4287,NA,NA,2000
4288,NA,NA,2000
4289,4465,4435,2000
4290,4465,4464,2000
4291,4465,4464,2000
4292,NA,NA,2000
4293,4443,4439,2000
4294,4443,4409,2000
4295,4443,4499,2000
4296,NA,NA,2000
4297,NA,NA,2000
4298,NA,NA,2000
4299,NA,NA,2000
4300,NA,NA,2000
4301,4468,4414,2000
4302,4468,4414,2000
4303,4468,4414,2000
4304,4468,4414,2000
4305,4404,4412,2000
4306,4404,4412,2000
4307,4404,4412,2000
4308,NA,NA,2000
4309,4437,4415,2000
4310,4437,4415,2000
4311,4437,4415,2000
4312,4489,4413,2000
4313,4489,4418,2000
4314,4489,4418,2000
