"BirdID","Dam","Sire"
"4208",NA,NA
"4209",NA,NA
"4214",NA,NA
"4218",NA,NA
"4219",NA,NA
"4224",NA,NA
"4225",NA,NA
"4226",NA,NA
"4227",NA,NA
"4232",NA,NA
"4233",NA,NA
"4234",NA,NA
"4235",NA,NA
"4269",NA,NA
"4270",NA,NA
"4278",NA,NA
"4279",NA,NA
"4283",NA,NA
"4286",NA,NA
"4287",NA,NA
"4288",NA,NA
"4292",NA,NA
"4296",NA,NA
"4297",NA,NA
"4298",NA,NA
"4299",NA,NA
"4300",NA,NA
"4308",NA,NA
"4315",NA,NA
"4316",NA,NA
"4317",NA,NA
"4320",NA,NA
"4327",NA,NA
"4329",NA,NA
"4330",NA,NA
"4331",NA,NA
"4334",NA,NA
"4335",NA,NA
"4336",NA,NA
"4337",NA,NA
"4341",NA,NA
"4342",NA,NA
"4343",NA,NA
"4344",NA,NA
"4345",NA,NA
"4346",NA,NA
"4347",NA,NA
"4348",NA,NA
"4349",NA,NA
"4350",NA,NA
"4351",NA,NA
"4352",NA,NA
"4353",NA,NA
"4354",NA,NA
"4355",NA,NA
"4356",NA,NA
"4357",NA,NA
"4358",NA,NA
"4359",NA,NA
"4360",NA,NA
"4361",NA,NA
"4362",NA,NA
"4363",NA,NA
"4364",NA,NA
"4365",NA,NA
"4366",NA,NA
"4367",NA,NA
"4368",NA,NA
"4369",NA,NA
"4370",NA,NA
"4371",NA,NA
"4375",NA,NA
"4376",NA,NA
"4377",NA,NA
"4501",NA,NA
"8",NA,NA
"9",NA,NA
"10",NA,NA
"12",NA,NA
"14",NA,NA
"18",NA,NA
"19",NA,NA
"26",NA,NA
"30",NA,NA
"43",NA,NA
"74",NA,NA
"85",NA,NA
"93",NA,NA
"97",NA,NA
"109",NA,NA
"124",NA,NA
"131",NA,NA
"138",NA,NA
"141",NA,NA
"154",NA,NA
"193",NA,NA
"200",NA,NA
"201",NA,NA
"209",NA,NA
"210",NA,NA
"214",NA,NA
"220",NA,NA
"224",NA,NA
"226",NA,NA
"227",NA,NA
"228",NA,NA
"229",NA,NA
"230",NA,NA
"234",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",NA,NA
"241",NA,NA
"242",NA,NA
"243",NA,NA
"244",NA,NA
"245",NA,NA
"246",NA,NA
"247",NA,NA
"248",NA,NA
"252",NA,NA
"261",NA,NA
"264",NA,NA
"265",NA,NA
"270",NA,NA
"273",NA,NA
"274",NA,NA
"275",NA,NA
"277",NA,NA
"280",NA,NA
"283",NA,NA
"295",NA,NA
"303",NA,NA
"310",NA,NA
"316",NA,NA
"317",NA,NA
"326",NA,NA
"341",NA,NA
"349",NA,NA
"350",NA,NA
"368",NA,NA
"376",NA,NA
"377",NA,NA
"379",NA,NA
"380",NA,NA
"381",NA,NA
"382",NA,NA
"387",NA,NA
"388",NA,NA
"391",NA,NA
"396",NA,NA
"401",NA,NA
"405",NA,NA
"408",NA,NA
"410",NA,NA
"415",NA,NA
"420",NA,NA
"446",NA,NA
"462",NA,NA
"472",NA,NA
"597",NA,NA
"598",NA,NA
"632",NA,NA
"636",NA,NA
"639",NA,NA
"640",NA,NA
"648",NA,NA
"651",NA,NA
"652",NA,NA
"657",NA,NA
"668",NA,NA
"669",NA,NA
"672",NA,NA
"673",NA,NA
"674",NA,NA
"675",NA,NA
"676",NA,NA
"681",NA,NA
"682",NA,NA
"683",NA,NA
"684",NA,NA
"685",NA,NA
"686",NA,NA
"687",NA,NA
"688",NA,NA
"689",NA,NA
"690",NA,NA
"695",NA,NA
"696",NA,NA
"702",NA,NA
"706",NA,NA
"707",NA,NA
"710",NA,NA
"711",NA,NA
"712",NA,NA
"716",NA,NA
"727",NA,NA
"728",NA,NA
"732",NA,NA
"4384",NA,NA
"4385",NA,NA
"4386",NA,NA
"516",NA,NA
"734",NA,NA
"736",NA,NA
"737",NA,NA
"782",NA,NA
"788",NA,NA
"790",NA,NA
"801",NA,NA
